opcion_id,partida_id,proveedor,producto,precio_unit_mxn,estado_precio,fecha_precio,tienda_fisica,sucursal_o_zona,distancia_desde_coyoacan,enlace,recomendacion,notas,plataforma,bloque_envio
OPC-213,F2-011,Hydro Environment,Solucion nutritiva hortalizas 1.5 kg,349,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/solucion-nutritiva-para-hortalizas-de-1-5-kg-rinde-para-1000-litros/,default,,,
OPC-214,F2-011,Al Natural,Solucion nutritiva hidroponica,0,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,,alternativa,Mucho mas cerca. Precio por confirmar,,
OPC-215,F2-012,Hydro Environment,AquAcid buffer pH-,516,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/aquacid-buffer-para-bajar-ph-regulador-de-ph-para-hidroponia/,default,,,
OPC-216,F2-012,Alquimia Mexicana,Acido fosforico o citrico grado alimenticio,0,aprox,2026-09-18,si,"Cerrada de Colima 2, Roma Norte",8 km,,alternativa_austera,Mucho mas barato. Mostrador de materias primas,,
OPC-217,F2-013,Insumos Cerveceros,Solucion buffer 4.01 120 mL,40,verificado,2026-09-18,no,solo en linea,,https://insumoscerveceros.mx/inicio/1305-solucion-para-calibracion-de-ph-buffer-401-120-ml.html,default,,online,presencial
OPC-218,F2-014,Mercado Libre,Sobres buffer 6.86 (x10),15,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/solucion-buffer-para-calibrar-ph,alternativa,El formato de sobre es de comercio electronico: los mostradores venden botella,online,presencial
OPC-219,F2-014,HANNA Instruments / Hydro Environment,Solucion de calibracion pH 7.01 en botella,150,aprox,2026-09-18,si,"HANNA: Vainilla 462, Granjas Mexico, Iztacalco",12 km,https://hannainst.com.mx,default,"LLAMAR ANTES al 55 5649 1185: HANNA opera por cotizacion y distribuidores, hay que confirmar que venden en mostrador al publico",,
OPC-220,F2-015,HANNA Instruments Mexico,HI7031L 500 mL,459.36,verificado,2026-09-18,si,"Vainilla 462, Granjas Mexico, Iztacalco",12 km,https://hannainst.com.mx/soluci%C3%B3n-de-calibraci%C3%B3n-de-ce-1-413-%C2%B5s-3-cm-valor-hi7031l,default,LLAMAR ANTES: por confirmar que venden en mostrador al publico,,
OPC-221,F2-015,Hydro Environment,Solucion de calibracion de EC,0,aprox,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,,alternativa,Salida presencial segura si HANNA no vende al publico,,
OPC-222,F2-016,UNIT Electronics,Sonda pH PH-4502C + electrodo E201C-BNC,318,verificado,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/sensor-de-ph-liquido/,default,EN MOSTRADOR EN COYOACAN. Precio verificado en catalogo el 18-sep-2026: $318,,
OPC-223,F2-016,Geek Factory,Kit sensor pH Gravity DFRobot,1250,aprox,2026-09-18,no,"Coacalco, Edo. Mex. Sin servicio de mostrador",,https://www.geekfactory.mx/producto/kit-sensor-de-ph-para-arduino-gravity-dfrobot/,alternativa_etapa2,NO SUMA AL TOTAL. Solo cuando el NFT venda. Reemplazo anual del electrodo $400-600,online,presencial
OPC-224,F2-016,Hanna Instruments,Monitor continuo GroLine HI981420,15669,verificado,2026-09-18,no,,,https://hydroenv.com.mx/producto/medidor-continuo-ph-ce-tds-para-hidroponia-groline-hi981420/,descartada,5x el stack completo de ESP32 + sondas. Solo con hierbas facturando mas de $6k/mes,online,presencial
OPC-225,F2-017,UNIT Electronics,Sensor TDS Meter v1.0 analogico SEN0244,253,verificado,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/sensor-tds-meter-v1-0-analogico-sen0244/,default,"Precio verificado en catalogo UNIT el 18-sep-2026: $253, no los $450 que traia el BOM viejo. Calibrar en mS/cm directo en ESPHome",,
OPC-226,F2-018,Mercado Libre,Bomba peristaltica 12 V,225,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/bomba-peristaltica-12v,default,"NO HAY MOSTRADOR: se verifico que UNIT no maneja peristalticas. Si quieres evitar la compra en linea, la salida es arrancar con dosificacion MANUAL (jeringa o probeta graduada + medidor de mano) y automatizar despues",online,presencial
OPC-227,F2-019,UNIT Electronics,Valvula solenoide 12V 1/2 NC,128,verificado,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://listado.mercadolibre.com.mx/valvula-solenoide-12v-1-2,default,"Verificado en catalogo UNIT el 18-sep-2026: $82-128 segun modelo, no $200. NC: un corte de luz no vacia el tinaco",,
OPC-228,F2-020,UNIT Electronics,ESP32-CAM OV2640 V3 USB-C,260,aprox,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/esp32-cam-ov2640-v3-con-interfaz-tipo-c/,default,,,
OPC-229,F2-021,UNIT Electronics,Sensor de flujo de agua YF-S201,64,verificado,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://listado.mercadolibre.com.mx/sensor-de-flujo-de-agua-yf-s201,default,"Precio verificado en catalogo UNIT el 18-sep-2026: $64, no los $110 del BOM viejo",,
OPC-230,F2-023,Home Depot / Sodimac,Portafiltro duplex 10 pulg + cartuchos sedimento y carbon,1000,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Sodimac Gran Sur, Periferico Sur 5550, Coyoacan",4 km / 6 km,https://www.agualimpia.mx/collections/filtro-para-sedimento-y-carbon-activado,default,En piso. Los cartuchos de repuesto tambien,,
OPC-231,F2-024,Mercado Libre,Medidor pH + TDS/EC de mano,450,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/medidor-ph-tds-ec,default,,online,presencial
OPC-232,F2-024,Hanna Instruments,HI98130,5000,aprox,2026-09-18,si,"Vainilla 462, Iztacalco",12 km,,alternativa,Solo cuando las hierbas facturen mas de $6k/mes,,
OPC-233,F2-025,Hydrocultura,"Albahaca Nufar organica 1 oz (~20,000 semillas)",549,verificado,2026-09-18,no,"Bodega Av. Toluca 1075, Alvaro Obregon (recoleccion concertada)",12 km,https://hydrocultura.com/products/nufar-semillas-organicas-de-albahaca,default,Vigilar reabasto,tienda_propia,hydrocultura
OPC-234,F2-025,Semillas Organicas ISLA,Albahaca Genovese + Italian Large Leaf,95,verificado,2026-09-18,si,"Ignacio Allende 21, Miguel Hidalgo",16 km,https://semillasisla.mx/products/albahaca-genovese,alternativa,RESPALDO PRESENCIAL por el desabasto de Nufar. Lo que sacrificas es la resistencia a fusarium: compensalo con rotacion y solucion limpia,,
OPC-235,F2-026,Casa del Libro / El Pendulo,Cultivos hidroponicos 5a ed,899,verificado,2026-09-18,si,El Pendulo Coyoacan (pedido),2 km,https://latam.casadellibro.com/libro-cultivos-hidroponicos-5-ed-suelo-para-tecnicos-y-agricultores-profesionales-asi-como-para-los/9788484760054/796153,default,El Pendulo lo puede pedir: preguntar en mostrador,,
OPC-236,F2-027,Cyberpuerta,Epcom LI100A12PRO,4459,verificado,2026-09-18,no,solo en linea,,https://www.cyberpuerta.mx,default,,online,cyberpuerta
OPC-237,F2-027,Solar Center / Exel Solar,LiFePO4 12.8V 100Ah (cualquier marca),0,aprox,2026-09-18,si,"Solar Center: Av. Central 154, GAM / Exel Solar: Norte 45 #909, Azcapotzalco",22 km,,alternativa,PRESENCIAL: llamar antes para confirmar existencia. Mismo viaje que el controlador y el panel,,
OPC-238,F2-027,Steren,AGM 24 Ah,1290,verificado,2026-09-18,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",3 km,,alternativa_austera,Version austera: mucha menos autonomia y la AGM no aguanta ciclado profundo igual. Sirve para validar el concepto,,
OPC-239,F2-028,Mercado Libre,Bomba de diafragma 12 V 40-60 W,650,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/bomba-diafragma-12v,default,,online,presencial
OPC-240,F2-028,Hydro Environment,Bomba de diafragma 12 V para riego,0,aprox,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,,alternativa,Unico mostrador realista: llamar antes con caudal y presion,,
OPC-241,F2-029,Cyberpuerta,EPEVER LS2024B,599,verificado,2026-09-18,no,solo en linea,,https://www.cyberpuerta.mx,default,,tienda_propia,cyberpuerta
OPC-242,F2-029,Solar Center / Exel Solar,EPEVER LS2024B o PWM/MPPT 12V 20A con perfil LiFePO4,0,aprox,2026-09-18,si,"Vallejo (Solar Center, GAM / Exel Solar, Azcapotzalco)",22 km,,alternativa,PRESENCIAL. Lo que importa no es la marca sino el perfil LiFePO4 configurable,,
OPC-243,F2-030,Cyberpuerta,Panel solar 100W Ugreen,1049,verificado,2026-09-18,no,solo en linea,,https://www.cyberpuerta.mx,default,Suma $158 de envio,tienda_propia,cyberpuerta
OPC-244,F2-030,Abaco Solaris / Solar Center,Panel 100 W 12 V (mono o policristalino),0,aprox,2026-09-18,si,"Abaco Solaris: Calle de America 173-1, Parque San Andres, COYOACAN",3 km,,alternativa,"EN COYOACAN, a 3 km. Para esta partida la marca da igual: lo que importa es 100 W a 12 V nominal. Ahorra el envio",,
OPC-245,F2-031,AutoZone / Steren + Solar Center,Portafusibles y fusibles ATO + seccionador DC,700,aprox,2026-09-18,si,AutoZone y Steren en Coyoacan; el seccionador DC en Vallejo,3 km / 22 km,,default,PARCIALMENTE PRESENCIAL: los fusibles automotrices ATO/maxi si estan en AutoZone y Steren de Coyoacan. El seccionador DC fotovoltaico (el que corta bajo carga sin arco) no: ese va con los solares de Vallejo o en linea,,
OPC-246,F2-032,Cyberpuerta,Envio,158,verificado,2026-09-18,no,solo en linea,,,default,,online,cyberpuerta
OPC-247,F2-037,Mercado Libre,Refrigerador usado 9-11 pies,4000,aprox,2026-09-18,no,solo en linea / Mercado Portales,,https://listado.mercadolibre.com.mx/refrigerador-usado,alternativa,No hay cadena de linea blanca usada con mostrador verificable en el sur,online,presencial
OPC-248,F2-037,Home Depot / Costco Coapa,Refrigerador NUEVO 9-11 pies,0,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Costco Coapa, Tlalpan",4 km / 7 km,,default,PARA PRODUCTO QUE SE COME CRUDO conviene nuevo y con garantia: un compresor que falla en agosto te tira el lote. Precio segun modelo,,
OPC-249,F2-038,Home Depot / Costco Coapa,Hielera rigida 45-50 L + gel packs,1300,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Costco Coapa",4 km / 7 km,https://listado.mercadolibre.com.mx/hielera-45-litros,default,En piso,,
OPC-250,F2-039,GNP / GMX,RC PyMEs con RC de productos,500,aprox,2026-09-18,si,Agentes en CDMX,,https://www.gnp.com.mx/seguro-de-danos-empresarial-de-responsabilidad-civil-pymes,default,Precio mensual,,
OPC-251,F0-001,The Home Depot Mexico,Husky estante de 5 niveles de acero 183 x 91.4 x 45.7 cm negro ZROP361872,2019,verificado,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/husky-estante-de-5-niveles-de-acero-183-x-914-x-457-cm-negro-zrop361872-5llb-150281,alternativa,"El rack mide 183 cm de alto: excede los 150 cm por lado que aceptan todas las paqueterías. Recoger en Home Depot Copilco o Coapa del Hueso · GRATIS: entra en el umbral. Home Depot da envio a domicilio sin costo desde $799 MXN en zona metropolitana CDMX, radio de 30 km desde la tienda que surte. Una sola pieza ya lo supera. · VENDEDOR QUE CUBRE VARIAS PARTIDAS - ESTE ES EL BLOQUE GRANDE. Home Depot",tienda_propia,presencial
OPC-252,F0-002,Amazon Mexico,"10 bandejas de cultivo de plantas CON agujeros de drenaje, 20 x 10 pulgadas",75.95,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=charola+germinacion+10x20,alternativa,Paquete de 10 bandejas CON drenaje a $759.51 = $75.95 c/u. Más caro que los $60 del mostrador de Al Natural,amazon,amazon
OPC-253,F0-003,Amazon Mexico,"10 bandejas de cultivo de plantas SIN orificios de drenaje, 20 x 10 pulgadas",64.6,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=charola+germinacion+10x20,alternativa,Paquete de 10 bandejas SIN drenaje a $646.02 = $64.60 c/u,amazon,amazon
OPC-254,F0-004,Mayoreo Online,Semilla de girasol con cascara jumbo,1,verificado,2026-09-18,no,en linea,,https://mayoreo.online/products/semilla-de-girasol-con-cascara-jumbo,alternativa,"Envios a todo Mexico, el costo se ve en el carrito (no publicado). TAMBIEN hay recoleccion gratis en bodega CEDA, L-V 9:00-18:00 · CONFIRMADO en stock y confirma el supuesto del BOM: 1 kg $34 y el costal de 5 kg a $140 para la recompra. Es un pedido chico y solo: si el envio te cuesta mas de $100, la recoleccion en CEDA o pedirle a alguien que pase es mas barata que el producto mismo.",tienda_propia,presencial
OPC-255,F0-006,Hydro Environment,"Gramo de semilla de rabano var. Champion, escalon 453+ g",1.6,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/gramo-de-semilla-de-rabano-var-champion/,alternativa,"No hay envio gratis por umbral. Estafeta o Paquete Express (Red Pack) para <70 kg, se cotiza en checkout; 2-4 dias habiles · CONSOLIDADOR PRINCIPAL. Hydro Environment cubre 10 partidas de esta categoria en UN SOLO PEDIDO: F0-006, F0-007, F0-010, F1-028, F1-029, F2-007, F2-008, F2-010, F2-011 y F2-012. Tabla de precios confirmada: 1-9 g $14.50, 10-99 g $8.00, 100-452 g $4.00, 453+ g $1.60. El BOM t",tienda_propia,hydroenv
OPC-256,F0-007,Hydro Environment,"Gramo de semilla de betabel/remolacha var. Early Wonder, escalon 453+ g",1.6,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/gramo-de-semilla-de-betabel-o-remolacha-variedad-early-wonder/,alternativa,"Mismo envio que F0-006: va en la misma caja, no suma costo · Escalones confirmados: 1-9 g $14.90, 10-99 g $8.00, 100-452 g $4.00, 453+ g $1.60. ~70 semillas por gramo. Coincide exacto con el BOM.",tienda_propia,hydroenv
OPC-257,F0-009,Semillas Organicas ISLA,"Sobres de microgreens: Cilantro Monogerm $100, Hoja de Mostaza Roja $110, Hoja de Mostaza Mizuna $130, Arugula $100, Tatsoi $100, Kale Ruso Rojo $100, Rabano Da",103.33,verificado,2026-09-18,no,en linea,,https://semillasisla.mx/collections/microgreens,alternativa,Tres sobres por ~$310: cilantro $100 + mostaza roja $110 + un tercero ~$100,tienda_propia,presencial
OPC-258,F0-010,Hydro Environment,"Polvillo de coco para germinacion 50 L, sustrato organico",115,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/polvillo-de-coco-para-germinacion-50-l-sustrato-organico/,alternativa,"Va en el mismo pedido del bloque Hydro Environment. Es la partida mas pesada y voluminosa del bloque: es la que va a determinar el costo del flete · Amazon tiene Pisumma polvillo de coco 30 L a $159 con envio gratis, pero es $5.30/L contra $2.30/L de Hydro Environment. Hydro Environment gana aunque pagues flete.",tienda_propia,hydroenv
OPC-259,F0-011,Amazon Mexico,"Bascula digital de cocina 10 kg / 1 g de acero inoxidable, pantalla LCD, funcion tara, 6 unidades de medida",120,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=bascula+digital+cocina+1g+5kg&i=kitchen,alternativa,"Entra en el umbral de $299 de Amazon SOLO si va acompanada. Junta con F0-012 y F0-021. · VENDEDOR/PLATAFORMA QUE CUBRE VARIAS PARTIDAS - BLOQUE 5, LOS INSTRUMENTOS. Las tres partidas chicas de medicion (F0-011 bascula de cosecha, F0-012 bascula de dosificacion, F0-021 termometro) se compran en el mismo pedido de Amazon Mexico y cruzan juntas el umbral de $299. Compradas por separado serian tres en",amazon,amazon
OPC-260,F0-012,Amazon Mexico,Bascula gramera digital de bolsillo 500 g / 0.01 g con funcion tara y pantalla LCD (Diyife),149,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=bascula+de+precision+0.1g+500g+joyeria,alternativa,"Entra en el umbral de envio gratis de Amazon Mexico ($299) SOLO si la juntas con otra cosa. A $149-219 suelta no llega. · MEJOR QUE LO QUE PIDE EL BOM: encontre basculas de 0.01 g (diez veces mas finas que los 0.1 g que pide la partida) desde $149, contra los $180 presupuestados. Junta esta con la de cosecha F0-011 y el termometro F0-021 en un solo pedido de Amazon: los tres suman ~$450-500 y cruz",amazon,amazon
OPC-261,F0-015,The Home Depot Mexico,"Forte caja de 100 guantes medianos de nitrilo desechables uso rudo (Microflex, negro)",369,verificado,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/forte-caja-de-100-guantes-medianos-de-nitrilo-desechables-para-uso-rudo-93252-206899,alternativa,"GRATIS si viaja dentro del pedido de Home Depot (umbral $799). Solo, NO llega al umbral. · $369 contra los $250 que el BOM estima en farmacia. Pagas $119 mas de producto pero NO pagas envio porque viaja gratis con el rack y el tinaco. Si lo compras suelto en Mercado Libre a ~$250 abres un pedido mas. Consolidar aqui gana.",tienda_propia,homedepot
OPC-262,F0-016,No identificado,"Peroxido de hidrogeno 35% grado alimenticio, 1 L",200,aprox,2026-09-18,no,en linea,,https://listado.mercadolibre.com.mx/peroxido-de-hidrogeno-35%25-grado-alimenticio-oxigeno-liquido,alternativa,No verificado. ADVERTENCIA: el H2O2 al 35% es un oxidante y varias paqueterias lo restringen o exigen embalaje especial; el envio puede costar mas que el producto o ser rechazado. · Confirme que existen distribuidores mexicanos directos (peroxidosdehidrogeno.mx y 39 proveedores listados en cosmos.com.mx) que venden por litro con entrega o recoleccion en planta. Esa via probablemente sea mas confia,mercadolibre,ml-full
OPC-263,F0-019,NO PUDE IDENTIFICAR AL VENDEDOR: Mercado Libre bloqueo el acceso en esta sesion,"Clamshell PET 8 oz, paquete de 100",3.5,aprox,2026-09-18,no,en linea,,https://listado.mercadolibre.com.mx/clamshell,alternativa,"Mercado Libre da envio gratis a partir de $299 en productos elegibles (dato de busqueda, no de ficha). A $350 el paquete de 100 entraria en el umbral. · LIMITACION IMPORTANTE DE ESTA INVESTIGACION: Mercado Libre me devolvio un muro de sesion en todos los intentos (listado, ficha de producto y catalogo), asi que NO pude leer ni un nombre de vendedor ni una insignia FULL en toda la plataforma. Como ",mercadolibre,ml-full
OPC-264,F0-020,Imprenta en linea: Pop Mexico,"Etiquetas adhesivas personalizadas a color, tiraje de 300",1.32,aprox,2026-09-18,no,en linea,,https://www.360imprimir.com.mx/etiquetas-adhesivas,alternativa,"500 etiquetas desde $397 en 360imprimir; prorrateado a las 300 del BOM sale ~$1.32 c/u, más barato que la imprenta física",tienda_propia,presencial
OPC-265,F0-021,Amazon Mexico,Termometro digital de cocina con sonda,150,aprox,2026-09-18,no,en linea,,https://www.amazon.com.mx/s?k=termometro+digital+cocina+sonda,alternativa,"Entra en el umbral de $299 de Amazon junto con las dos basculas. · Tercera pieza del Bloque 5 (Amazon). Recuerda el doble uso que marca el BOM: precalentado a 60 C para sanitizar semilla Y registro de cadena de frio en entregas, asi que conviene uno con sonda y rango amplio, no un termometro de carne basico.",amazon,amazon
OPC-266,F0-022,Amazon Estados Unidos,"Microgreens: The Insiders Secrets To Growing Gourmet Greens & Building A Wildly Successful Microgreen Business - pasta blanda, 146 pag, ingles",400.82,verificado,2026-09-18,no,en linea,,https://www.amazon.com.mx/Microgreens-Insiders-Building-Successful-Microgreen/dp/191366600X,alternativa,"GRATIS. La ficha dice Entrega GRATIS desde Estados Unidos el jueves 24 de septiembre. Amazon Mexico da envio gratis desde $299 sin Prime, y este producto ya lo supera solo. · Precio verificado hoy: $400.82 contra los $396.60 del BOM, diferencia de $4. Envio gratis confirmado en ficha y llega el 24 de septiembre, a tiempo para las visitas a chefs. La version usada en buen estado a $310.81 tambien t",amazon,amazon
OPC-267,F0-023,El Pendulo,El jardinero horticultor. Manual para cultivar con exito pequenas huertas biointensivas - Jean-Martin Fortier,488,verificado,2026-09-18,no,en linea,,https://pendulo.com/libro/jardinero-horticultor-el_393665,alternativa,"GRATIS a partir de $800 en CDMX (y $1,300 en el resto del pais). Este libro SOLO cuesta $488, asi que NO alcanza el umbral por si mismo. · VENDEDOR QUE PUEDE CUBRIR DOS PARTIDAS - BLOQUE 4, LOS LIBROS EN ESPANOL. Si El Pendulo consigue el Resh (F2-026), el par suma $1,387 y el envio es GRATIS. Solo, este libro no llega a los $800 y pagarias envio por $488 de producto. Pregunta en mostrador o por t",tienda_propia,presencial
OPC-268,F1-001,Sodimac Mexico,"PTR 1 1/2 x 1 1/2 calibre 14, tramo de 6 m",382.85,verificado,2026-09-18,no,en linea,,https://www.sodimac.com.mx/sodimac-mx/product/433713/ptr-1-1-2x1-1-2-calibre-14/433713,alternativa,"Tramos de 6 m: 600 cm contra el tope de 150 cm por lado. Es recoger con el auto (no cabe en un sedán) o flete de la propia acerera, que suele ser gratis por volumen · Sodimac en línea: $403 pieza suelta, $382.85 desde 5 piezas. OJO: 6 m NO viaja por paquetería, esto es recoger o flete de la acerera",tienda_propia,presencial
OPC-269,F1-002,Sodimac Mexico,"PTR 1 pulg, tramo de 6 m",275,aprox,2026-09-18,no,en linea,,https://www.sodimac.com.mx/sodimac-mx/category/cat11448/PTR,alternativa,"Mismo caso: tramos de 6 m · Mismo despacho que F1-001. Sodimac: gratis arriba de $1,000 en zona local, sujeto a la misma duda de los 6 m de largo. · Va obligatoriamente en el mismo pedido que F1-001: mismo proveedor, mismo despacho, mismo camion. Sigue abierta la duda del BOM de si son 4 o 7 tramos (docs/diseno/estructura-tunel.md calcula 7 con kerf): resuelvela ANTES de pedir, porque agregar 3 tr",tienda_propia,presencial
OPC-270,F1-004,The Home Depot Mexico,"Anclaje de cuna para concreto 3/8 x 3 pulg (Red Head) o taquete de expansion 3/8 x 3 (Hillman, caja 50 pzas)",180,aprox,2026-09-18,no,en linea,,https://www.homedepot.com.mx/b/ferreteria/ferreteria-general/tornillos-tuercas-y-arandelas/anclajes-de-cuna-para-concreto-3-8x3-3-136889,alternativa,GRATIS dentro del pedido de Home Depot. · SOLO LAS ANCLAS son comprables en linea. Las placas base 10x10 las corta y suelda el herrero a partir de solera 3/16 (ver F1-003): esa parte no es un producto de catalogo. Existe la caja Hillman de 50 taquetes 3/8x3 que cubre las 6 placas con 2-4 anclas cada una y sobra.,tienda_propia,homedepot
OPC-271,F1-005,Hydro Environment,"Metro de plastico para invernadero 25% sombra, 6.2 m de ancho, cal. 720",193.5,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/metro-de-plastico-para-invernadero-25-sombra-6-2-m-de-ancho-cal-720/,alternativa,"NO hay envio gratis por monto. Hydro Environment cobra lo que cobre la paqueteria: Estafeta o Paquete Express si el pedido pesa menos de 70 kg, y fletera POR COBRAR si pasa de 70 kg. Tarda 2-4 dias habiles en embarcar. · VENDEDOR QUE CUBRE VARIAS PARTIDAS - BLOQUE 2, LA CUBIERTA. Hydro Environment cubre F1-005 (plastico), F1-027 (malla sombra) y F1-007 (perfil + alambre zigzag) en UN SOLO PEDIDO. ",tienda_propia,hydroenv
OPC-272,F1-007,Hydro Environment,Perfil sujetador Polygrap tramo de 2 m (acero galvanizado 1 mm) + alambre zigzag cal. 12 por kilo (~22.5 m de rendimiento),85.5,verificado,2026-09-18,no,en linea,,https://hydroenv.com.mx/producto/449-tramo-de-2-metros-de-perfil-sujetador-o-riel-de-invernadero-polygrap/,alternativa,"Sin envio gratis. Mismo embarque que F1-005 y F1-027. · Alambre zigzag: https://hydroenv.com.mx/producto/448-kilo-de-alambre-zigzag-para-perfil-sujetador-cal-12-aprox-22-5-metros-de-alambre/ . Para un tunel 3x6 necesitas ~30 m de perfil = 15 tramos = $1,282.50, mas 2 kg de alambre = $185.40, o sea ~$1,468 contra los $1,100 que estima el BOM. FALTAN de este lote la cinta reparadora y la canaleta PV",tienda_propia,hydroenv
OPC-273,F1-008,The Home Depot Mexico,Husky estante de 5 niveles de acero 183 x 91.4 x 45.7 cm negro ZROP361872 x3,2019,verificado,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/husky-estante-de-5-niveles-de-acero-183-x-914-x-457-cm-negro-zrop361872-5llb-150281,alternativa,"Mismo caso que F0-001, y son tres. Recoger en tienda o pedir entrega a domicilio de Home Depot · GRATIS: entra en el umbral de $799 con muchisimo margen. · Mismo SKU que F0-001. Si compras los 4 racks juntos en el mismo pedido de Home Depot, es un solo envio gratis para $8,076 de racks. Checa existencia en linea: 4 racks no siempre estan disponibles a la vez.",tienda_propia,presencial
OPC-274,F1-009,The Home Depot Mexico,Aquaplas tinaco tricapa 750 L negro con accesorios (106 cm diam x 110 cm alt) - alternativa: Rotoplas tricapa 750 L con accesorios,2815,verificado,2026-09-18,no,en linea,,https://www.homedepot.com.mx/p/aquaplas-tinaco-tricapa-750-l-negro-aquaplas-con-accesorios-108298-108298,alternativa,"Tinaco de 106 cm de diámetro por 110 de alto: unos 256 kg volumétricos contra el tope de 70 kg. No existe paquetería que lo mueva · Tinaco Aquaplas tricapa 750 L a $2,815 (el Rotoplas con accesorios, $3,549). Más caro que los $2,051 del mostrador, y además NO viaja por paquetería: 106 cm de diámetro",tienda_propia,presencial
OPC-275,F1-010,Isla Urbana,Paquete Basico Tlaloc: tlaloque + filtro de hojas de malla inoxidable + axolote,5300,verificado,2026-09-18,no,en linea,,https://islaurbana.mx/product/paquete-basico-tlaloc/,alternativa,"Isla Urbana está en Callejón de Colima 23, Coyoacán, a 2 km. Pagar paquetería por un kit voluminoso que tienes a diez minutos no tiene sentido · En línea NO existe la opción DIY de $1,500: el tlaloque casero se arma con tubo de tlapalería. Comprando por internet la única vía es el kit de Isla Urbana. Por eso esta partida sube $3,800 en el escenario en línea",tienda_propia,presencial
OPC-276,F1-011,UNIT Electronics,ESP32 DevKit V1 30 pines USB-C,130,aprox,2026-09-18,no,en linea,,https://uelectronics.com/producto/esp32-devkit-v1-30-pines-usb-c-microusb/,alternativa,"$129 unico por TODO el pedido UNIT (tarifa nacional para compras mayores a $599; $199 si el pedido es menor). Verificado hoy solo por buscador: uelectronics.com esta detras de Cloudflare y no pude abrir la ficha · ANCLA DEL PEDIDO 1. UNIT cubre 12 partidas de esta categoria (F1-011, F1-012, F1-013, F1-014, F1-015, F1-019, F1-023, F2-016, F2-017, F2-019, F2-020, F2-021) = UN SOLO envio de $129 para",tienda_propia,unit
OPC-277,F1-012,UNIT Electronics,GY-SHT41 / SHT40-AD1B-R2 (Sensirion),91,aprox,2026-09-18,no,en linea,,https://uelectronics.com,alternativa,$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). El SHT31 que traia el BOM viejo esta en Mercado Libre a $300 con vendedor suelto: peor precio y un envio aparte. En ESPHome usa la plataforma sht4x.,tienda_propia,unit
OPC-278,F1-013,UNIT Electronics,DS18B20 acero inoxidable sumergible,35,aprox,2026-09-18,no,en linea,,https://uelectronics.com/producto/ds18b20-sensor-de-temperatura-digital-de-acero-inoxidable-sumergible/,alternativa,"$0 adicional: viaja en el mismo pedido UNIT de $129 · Va en el PEDIDO 1 (UNIT). Alternativa Amazon verificada: ASIN B09MST2FMK a $60 con Entrega GRATIS, pero son $25 mas caro por pieza; solo tiene sentido si NO haces el pedido a UNIT.",tienda_propia,unit
